"全域・集中の別030002","時間軸(年次)","年齢各歳階級Ｂ030003","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年"," ７歳","青森県","男女総数","26199"
"全域","1980年"," ７歳","岩手県","男女総数","23235"
"全域","1980年"," ７歳","宮城県","男女総数","34864"
"全域","1980年"," ７歳","秋田県","男女総数","18335"
"全域","1980年"," ７歳","山形県","男女総数","18444"
"全域","1980年"," ７歳","福島県","男女総数","33290"
"全域","1980年"," ７歳","茨城県","男女総数","47787"
"全域","1980年"," ７歳","栃木県","男女総数","32664"
"全域","1980年"," ７歳","群馬県","男女総数","33476"
"全域","1980年"," ７歳","埼玉県","男女総数","115455"
"全域","1980年"," ７歳","千葉県","男女総数","95130"
"全域","1980年"," ７歳","東京都","男女総数","179471"
"全域","1980年"," ７歳","神奈川県","男女総数","131587"
"全域","1980年"," ７歳","新潟県","男女総数","39537"
"全域","1980年"," ７歳","富山県","男女総数","19131"
"全域","1980年"," ７歳","石川県","男女総数","20581"
"全域","1980年"," ７歳","福井県","男女総数","13760"
"全域","1980年"," ７歳","山梨県","男女総数","13069"
"全域","1980年"," ７歳","長野県","男女総数","34082"
"全域","1980年"," ７歳","岐阜県","男女総数","35808"
"全域","1980年"," ７歳","静岡県","男女総数","62828"
"全域","1980年"," ７歳","愛知県","男女総数","119384"
"全域","1980年"," ７歳","三重県","男女総数","29424"
"全域","1980年"," ７歳","滋賀県","男女総数","19935"
"全域","1980年"," ７歳","京都府","男女総数","44117"
"全域","1980年"," ７歳","大阪府","男女総数","158073"
"全域","1980年"," ７歳","兵庫県","男女総数","93882"
"全域","1980年"," ７歳","奈良県","男女総数","22609"
"全域","1980年"," ７歳","和歌山県","男女総数","18357"
"全域","1980年"," ７歳","鳥取県","男女総数","9505"
"全域","1980年"," ７歳","島根県","男女総数","12402"
"全域","1980年"," ７歳","岡山県","男女総数","32248"
"全域","1980年"," ７歳","広島県","男女総数","49844"
"全域","1980年"," ７歳","山口県","男女総数","26760"
"全域","1980年"," ７歳","徳島県","男女総数","12737"
"全域","1980年"," ７歳","香川県","男女総数","16984"
"全域","1980年"," ７歳","愛媛県","男女総数","25421"
"全域","1980年"," ７歳","高知県","男女総数","13194"
"全域","1980年"," ７歳","福岡県","男女総数","77117"
"全域","1980年"," ７歳","佐賀県","男女総数","14287"
"全域","1980年"," ７歳","長崎県","男女総数","27582"
"全域","1980年"," ７歳","熊本県","男女総数","27972"
"全域","1980年"," ７歳","大分県","男女総数","20342"
"全域","1980年"," ７歳","宮崎県","男女総数","19717"
"全域","1980年"," ７歳","鹿児島県","男女総数","28078"
"全域","1980年"," ７歳","沖縄県","男女総数","23645"
"全域","1980年"," ８歳","全国","男女総数","2025049"
"全域","1980年"," ８歳","全国市部","男女総数","1569759"
"全域","1980年"," ８歳","全国郡部","男女総数","455290"
"全域","1980年"," ８歳","北海道","男女総数","93103"
"全域","1980年"," ８歳","青森県","男女総数","25902"
"全域","1980年"," ８歳","岩手県","男女総数","22473"
"全域","1980年"," ８歳","宮城県","男女総数","33097"
"全域","1980年"," ８歳","秋田県","男女総数","17953"
"全域","1980年"," ８歳","山形県","男女総数","18073"
"全域","1980年"," ８歳","福島県","男女総数","32074"
"全域","1980年"," ８歳","茨城県","男女総数","46253"
"全域","1980年"," ８歳","栃木県","男女総数","31616"
"全域","1980年"," ８歳","群馬県","男女総数","32941"
"全域","1980年"," ８歳","埼玉県","男女総数","113260"
"全域","1980年"," ８歳","千葉県","男女総数","93572"
"全域","1980年"," ８歳","東京都","男女総数","177369"
"全域","1980年"," ８歳","神奈川県","男女総数","129007"
"全域","1980年"," ８歳","新潟県","男女総数","38098"
"全域","1980年"," ８歳","富山県","男女総数","19044"
"全域","1980年"," ８歳","石川県","男女総数","19936"
"全域","1980年"," ８歳","福井県","男女総数","13435"
"全域","1980年"," ８歳","山梨県","男女総数","13061"
"全域","1980年"," ８歳","長野県","男女総数","33328"
"全域","1980年"," ８歳","岐阜県","男女総数","34859"
"全域","1980年"," ８歳","静岡県","男女総数","61051"
"全域","1980年"," ８歳","愛知県","男女総数","117872"
"全域","1980年"," ８歳","三重県","男女総数","28981"
"全域","1980年"," ８歳","滋賀県","男女総数","19639"
"全域","1980年"," ８歳","京都府","男女総数","43274"
"全域","1980年"," ８歳","大阪府","男女総数","157677"
"全域","1980年"," ８歳","兵庫県","男女総数","91867"
"全域","1980年"," ８歳","奈良県","男女総数","21995"
"全域","1980年"," ８歳","和歌山県","男女総数","17998"
"全域","1980年"," ８歳","鳥取県","男女総数","9448"
"全域","1980年"," ８歳","島根県","男女総数","11868"
"全域","1980年"," ８歳","岡山県","男女総数","31684"
"全域","1980年"," ８歳","広島県","男女総数","48342"
"全域","1980年"," ８歳","山口県","男女総数","26298"
"全域","1980年"," ８歳","徳島県","男女総数","12493"
"全域","1980年"," ８歳","香川県","男女総数","16454"
"全域","1980年"," ８歳","愛媛県","男女総数","24881"
"全域","1980年"," ８歳","高知県","男女総数","12992"
"全域","1980年"," ８歳","福岡県","男女総数","75196"
"全域","1980年"," ８歳","佐賀県","男女総数","13744"
"全域","1980年"," ８歳","長崎県","男女総数","26950"
"全域","1980年"," ８歳","熊本県","男女総数","27189"
"全域","1980年"," ８歳","大分県","男女総数","19748"
"全域","1980年"," ８歳","宮崎県","男女総数","18988"
