"全域・集中の別030002","時間軸(年次)","年齢５歳階級Ａ030002","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","１５－１９歳","長崎県","男女総数","117450"
"全域","1980年","１５－１９歳","熊本県","男女総数","129592"
"全域","1980年","１５－１９歳","大分県","男女総数","82236"
"全域","1980年","１５－１９歳","宮崎県","男女総数","77586"
"全域","1980年","１５－１９歳","鹿児島県","男女総数","127787"
"全域","1980年","１５－１９歳","沖縄県","男女総数","94640"
"全域","1980年","２０－２４歳","全国","男女総数","7841026"
"全域","1980年","２０－２４歳","全国市部","男女総数","6287716"
"全域","1980年","２０－２４歳","全国郡部","男女総数","1553310"
"全域","1980年","２０－２４歳","北海道","男女総数","376820"
"全域","1980年","２０－２４歳","青森県","男女総数","99932"
"全域","1980年","２０－２４歳","岩手県","男女総数","82506"
"全域","1980年","２０－２４歳","宮城県","男女総数","155650"
"全域","1980年","２０－２４歳","秋田県","男女総数","73841"
"全域","1980年","２０－２４歳","山形県","男女総数","73355"
"全域","1980年","２０－２４歳","福島県","男女総数","125560"
"全域","1980年","２０－２４歳","茨城県","男女総数","160760"
"全域","1980年","２０－２４歳","栃木県","男女総数","112274"
"全域","1980年","２０－２４歳","群馬県","男女総数","106948"
"全域","1980年","２０－２４歳","埼玉県","男女総数","341335"
"全域","1980年","２０－２４歳","千葉県","男女総数","296937"
"全域","1980年","２０－２４歳","東京都","男女総数","1113290"
"全域","1980年","２０－２４歳","神奈川県","男女総数","501081"
"全域","1980年","２０－２４歳","新潟県","男女総数","136295"
"全域","1980年","２０－２４歳","富山県","男女総数","58340"
"全域","1980年","２０－２４歳","石川県","男女総数","69244"
"全域","1980年","２０－２４歳","福井県","男女総数","45790"
"全域","1980年","２０－２４歳","山梨県","男女総数","48220"
"全域","1980年","２０－２４歳","長野県","男女総数","108102"
"全域","1980年","２０－２４歳","岐阜県","男女総数","117854"
"全域","1980年","２０－２４歳","静岡県","男女総数","207158"
"全域","1980年","２０－２４歳","愛知県","男女総数","442129"
"全域","1980年","２０－２４歳","三重県","男女総数","96918"
"全域","1980年","２０－２４歳","滋賀県","男女総数","67245"
"全域","1980年","２０－２４歳","京都府","男女総数","194837"
"全域","1980年","２０－２４歳","大阪府","男女総数","591162"
"全域","1980年","２０－２４歳","兵庫県","男女総数","324729"
"全域","1980年","２０－２４歳","奈良県","男女総数","76573"
"全域","1980年","２０－２４歳","和歌山県","男女総数","59498"
"全域","1980年","２０－２４歳","鳥取県","男女総数","34151"
"全域","1980年","２０－２４歳","島根県","男女総数","37811"
"全域","1980年","２０－２４歳","岡山県","男女総数","108780"
"全域","1980年","２０－２４歳","広島県","男女総数","162833"
"全域","1980年","２０－２４歳","山口県","男女総数","86391"
"全域","1980年","２０－２４歳","徳島県","男女総数","47921"
"全域","1980年","２０－２４歳","香川県","男女総数","54993"
"全域","1980年","２０－２４歳","愛媛県","男女総数","85032"
"全域","1980年","２０－２４歳","高知県","男女総数","44206"
"全域","1980年","２０－２４歳","福岡県","男女総数","325454"
"全域","1980年","２０－２４歳","佐賀県","男女総数","54520"
"全域","1980年","２０－２４歳","長崎県","男女総数","95791"
"全域","1980年","２０－２４歳","熊本県","男女総数","114689"
"全域","1980年","２０－２４歳","大分県","男女総数","69752"
"全域","1980年","２０－２４歳","宮崎県","男女総数","69473"
"全域","1980年","２０－２４歳","鹿児島県","男女総数","104421"
"全域","1980年","２０－２４歳","沖縄県","男女総数","80425"
"全域","1980年","２５－２９歳","全国","男女総数","9041355"
"全域","1980年","２５－２９歳","全国市部","男女総数","7081800"
"全域","1980年","２５－２９歳","全国郡部","男女総数","1959555"
"全域","1980年","２５－２９歳","北海道","男女総数","460048"
"全域","1980年","２５－２９歳","青森県","男女総数","119729"
"全域","1980年","２５－２９歳","岩手県","男女総数","105870"
"全域","1980年","２５－２９歳","宮城県","男女総数","172560"
"全域","1980年","２５－２９歳","秋田県","男女総数","95025"
"全域","1980年","２５－２９歳","山形県","男女総数","93109"
"全域","1980年","２５－２９歳","福島県","男女総数","157768"
"全域","1980年","２５－２９歳","茨城県","男女総数","203555"
"全域","1980年","２５－２９歳","栃木県","男女総数","146398"
"全域","1980年","２５－２９歳","群馬県","男女総数","140494"
"全域","1980年","２５－２９歳","埼玉県","男女総数","418112"
"全域","1980年","２５－２９歳","千葉県","男女総数","373636"
"全域","1980年","２５－２９歳","東京都","男女総数","1010762"
"全域","1980年","２５－２９歳","神奈川県","男女総数","564655"
"全域","1980年","２５－２９歳","新潟県","男女総数","182587"
"全域","1980年","２５－２９歳","富山県","男女総数","75599"
"全域","1980年","２５－２９歳","石川県","男女総数","79798"
"全域","1980年","２５－２９歳","福井県","男女総数","56609"
"全域","1980年","２５－２９歳","山梨県","男女総数","56157"
"全域","1980年","２５－２９歳","長野県","男女総数","140036"
"全域","1980年","２５－２９歳","岐阜県","男女総数","138411"
"全域","1980年","２５－２９歳","静岡県","男女総数","265447"
"全域","1980年","２５－２９歳","愛知県","男女総数","483281"
"全域","1980年","２５－２９歳","三重県","男女総数","116286"
"全域","1980年","２５－２９歳","滋賀県","男女総数","80928"
"全域","1980年","２５－２９歳","京都府","男女総数","183051"
"全域","1980年","２５－２９歳","大阪府","男女総数","657664"
"全域","1980年","２５－２９歳","兵庫県","男女総数","382915"
"全域","1980年","２５－２９歳","奈良県","男女総数","88124"
"全域","1980年","２５－２９歳","和歌山県","男女総数","73016"
"全域","1980年","２５－２９歳","鳥取県","男女総数","43676"
"全域","1980年","２５－２９歳","島根県","男女総数","51193"
"全域","1980年","２５－２９歳","岡山県","男女総数","128761"
"全域","1980年","２５－２９歳","広島県","男女総数","202499"
"全域","1980年","２５－２９歳","山口県","男女総数","109394"
"全域","1980年","２５－２９歳","徳島県","男女総数","60494"
"全域","1980年","２５－２９歳","香川県","男女総数","70435"
"全域","1980年","２５－２９歳","愛媛県","男女総数","107050"
"全域","1980年","２５－２９歳","高知県","男女総数","56725"
"全域","1980年","２５－２９歳","福岡県","男女総数","364866"
"全域","1980年","２５－２９歳","佐賀県","男女総数","65098"
"全域","1980年","２５－２９歳","長崎県","男女総数","120580"
"全域","1980年","２５－２９歳","熊本県","男女総数","133527"
"全域","1980年","２５－２９歳","大分県","男女総数","87600"
"全域","1980年","２５－２９歳","宮崎県","男女総数","89667"
"全域","1980年","２５－２９歳","鹿児島県","男女総数","128360"
"全域","1980年","２５－２９歳","沖縄県","男女総数","99800"
"全域","1980年","３０－３４歳","全国","男女総数","10771731"
"全域","1980年","３０－３４歳","全国市部","男女総数","8539643"
"全域","1980年","３０－３４歳","全国郡部","男女総数","2232088"
"全域","1980年","３０－３４歳","北海道","男女総数","520637"
"全域","1980年","３０－３４歳","青森県","男女総数","130230"
"全域","1980年","３０－３４歳","岩手県","男女総数","112943"
"全域","1980年","３０－３４歳","宮城県","男女総数","181843"
"全域","1980年","３０－３４歳","秋田県","男女総数","102520"
"全域","1980年","３０－３４歳","山形県","男女総数","97991"
"全域","1980年","３０－３４歳","福島県","男女総数","161967"
"全域","1980年","３０－３４歳","茨城県","男女総数","231708"
"全域","1980年","３０－３４歳","栃木県","男女総数","164731"
"全域","1980年","３０－３４歳","群馬県","男女総数","169363"
"全域","1980年","３０－３４歳","埼玉県","男女総数","562078"
"全域","1980年","３０－３４歳","千葉県","男女総数","487054"
"全域","1980年","３０－３４歳","東京都","男女総数","1128129"
"全域","1980年","３０－３４歳","神奈川県","男女総数","707464"
"全域","1980年","３０－３４歳","新潟県","男女総数","206724"
"全域","1980年","３０－３４歳","富山県","男女総数","101823"
"全域","1980年","３０－３４歳","石川県","男女総数","105394"
"全域","1980年","３０－３４歳","福井県","男女総数","67317"
"全域","1980年","３０－３４歳","山梨県","男女総数","64151"
"全域","1980年","３０－３４歳","長野県","男女総数","168870"
"全域","1980年","３０－３４歳","岐阜県","男女総数","172720"
"全域","1980年","３０－３４歳","静岡県","男女総数","317461"
"全域","1980年","３０－３４歳","愛知県","男女総数","609904"
"全域","1980年","３０－３４歳","三重県","男女総数","144042"
"全域","1980年","３０－３４歳","滋賀県","男女総数","98907"
"全域","1980年","３０－３４歳","京都府","男女総数","239001"
"全域","1980年","３０－３４歳","大阪府","男女総数","842621"
"全域","1980年","３０－３４歳","兵庫県","男女総数","478437"
"全域","1980年","３０－３４歳","奈良県","男女総数","112267"
"全域","1980年","３０－３４歳","和歌山県","男女総数","90634"
"全域","1980年","３０－３４歳","鳥取県","男女総数","49481"
"全域","1980年","３０－３４歳","島根県","男女総数","61418"
"全域","1980年","３０－３４歳","岡山県","男女総数","162622"
"全域","1980年","３０－３４歳","広島県","男女総数","256308"
"全域","1980年","３０－３４歳","山口県","男女総数","135938"
"全域","1980年","３０－３４歳","徳島県","男女総数","70227"
"全域","1980年","３０－３４歳","香川県","男女総数","91662"
"全域","1980年","３０－３４歳","愛媛県","男女総数","128857"
"全域","1980年","３０－３４歳","高知県","男女総数","70617"
"全域","1980年","３０－３４歳","福岡県","男女総数","417136"
"全域","1980年","３０－３４歳","佐賀県","男女総数","67295"
"全域","1980年","３０－３４歳","長崎県","男女総数","126794"
"全域","1980年","３０－３４歳","熊本県","男女総数","141679"
"全域","1980年","３０－３４歳","大分県","男女総数","101372"
"全域","1980年","３０－３４歳","宮崎県","男女総数","96463"
"全域","1980年","３０－３４歳","鹿児島県","男女総数","128819"
"全域","1980年","３０－３４歳","沖縄県","男女総数","86112"
"全域","1980年","３５－３９歳","全国","男女総数","9201581"
"全域","1980年","３５－３９歳","全国市部","男女総数","7325951"
"全域","1980年","３５－３９歳","全国郡部","男女総数","1875630"
"全域","1980年","３５－３９歳","北海道","男女総数","424505"
"全域","1980年","３５－３９歳","青森県","男女総数","105728"
"全域","1980年","３５－３９歳","岩手県","男女総数","96210"
"全域","1980年","３５－３９歳","宮城県","男女総数","147252"
"全域","1980年","３５－３９歳","秋田県","男女総数","82729"
"全域","1980年","３５－３９歳","山形県","男女総数","79474"
"全域","1980年","３５－３９歳","福島県","男女総数","131811"
"全域","1980年","３５－３９歳","茨城県","男女総数","198753"
"全域","1980年","３５－３９歳","栃木県","男女総数","131715"
"全域","1980年","３５－３９歳","群馬県","男女総数","141753"
"全域","1980年","３５－３９歳","埼玉県","男女総数","521698"
